NOM_RBD,COD_COM_RBD,PROM_GRAL,ASISTENCIA
COLEGIO ALMA MATER,13111.0,5.639806996381182,41.642943305186975
COLEGIO ALMENAR DE PIRQUE,13202.0,6.161967213114754,93.71147540983607
COLEGIO ALMENAR DEL MAIPO,13201.0,5.553333333333333,85.98290598290598
COLEGIO ALMENDRAL,13110.0,5.308064516129032,55.303763440860216
COLEGIO ALTAMIRA,13122.0,6.285115606936416,92.42630057803468
COLEGIO ALTAZOL DEL MAIPO,13404.0,5.614081632653061,83.21020408163265
COLEGIO ALTERRA,13401.0,6.008135593220339,80.94915254237289
COLEGIO ALTO DEL MAIPO,13603.0,5.429759704251387,78.54898336414048
COLEGIO ALTO DEL VALLE,13402.0,6.088602150537634,84.37096774193549
COLEGIO ALTO GABRIELA,13112.0,5.507469879518072,80.55542168674698
COLEGIO ALTO PALENA,13101.0,5.013636363636364,92.20779220779221
COLEGIO ALVARO LAVÍN,13119.0,4.845685279187817,68.01522842639594
COLEGIO AMANCAY DE LA FLORIDA,13110.0,5.976719576719576,87.03703703703704
COLEGIO AMERICAN ACADEMY,13401.0,6.391817215727949,92.39957492029755
COLEGIO AMERICAN BRITISH COLLEGE,13110.0,6.338996763754046,95.32740021574973
COLEGIO AMERICAN BRITISH SCHOOL,13110.0,6.537728937728938,96.9047619047619
COLEGIO AMERICAN SCHOOL,13605.0,5.231714285714285,96.0
COLEGIO ANDINO ANTILLANCA,13114.0,5.187349397590362,81.83734939759036
COLEGIO ANDREE ENGLISH SCHOOL,13113.0,6.4255267910897045,98.40096327513547
COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,13115.0,4.982258064516129,78.31720430107526
COLEGIO ANGLO MAIPU,13119.0,5.962582781456954,90.16556291390728
COLEGIO ANTARTICA CHILENA,13132.0,5.641788143828959,30.65014577259475
COLEGIO ANTIL MAWIDA,13109.0,6.01021582733813,59.120863309352515
COLEGIO ANTIMANQUE,13605.0,6.076391982182629,94.97995545657015
COLEGIO ANTU,13109.0,5.481311475409836,92.92131147540984
COLEGIO ANTUQUENU ANDINO,13110.0,6.3999999999999995,82.07692307692308
COLEGIO APOSTOL SAN PEDRO,13120.0,5.665942028985507,83.16666666666667
COLEGIO ARABE,13114.0,6.296363636363636,93.09454545454545
COLEGIO ARAGON,13401.0,5.3945454545454545,87.78383838383839
COLEGIO ARAUCARIA CORDILLERA,13201.0,5.8979633401222,94.45621181262729
COLEGIO ARTISTICO EL SALVADOR ANEXO,13110.0,5.8994708994708995,98.3068783068783
COLEGIO ARTURO PRAT,13201.0,5.227317073170731,84.29024390243903
COLEGIO ARTURO TORO AMOR,13108.0,5.664165103189493,69.28611632270169
COLEGIO ATENAS,13110.0,5.936608344549125,81.44683714670256
COLEGIO AULA CLINICA SANTA MARIA,13123.0,5.483116883116883,75.97402597402598
COLEGIO AUSTRALIA,13112.0,5.090178571428572,78.59375
COLEGIO BATALLA DE LA CONCEPCION,13105.0,4.958452722063037,81.81948424068769
COLEGIO BERTAIT COLLEGE,13115.0,5.7894444444444435,87.7388888888889
COLEGIO BETANIA,13111.0,4.655595667870036,80.10830324909747
COLEGIO BETTERLAND SCHOOL,13115.0,5.377503250975293,36.583875162548765
COLEGIO BICENTENARIO APRENDER,13112.0,5.483002481389579,87.51861042183623
COLEGIO BICENTENARIO ARZOBISPO CRESCENTE ERRAZURIZ,13201.0,5.995231607629428,80.94277929155314
COLEGIO BICENTENARIO DE EXCELENCIA POLITECNICO ALEMAN ALBERT EINSTEIN,13102.0,4.902477477477477,78.67117117117117
COLEGIO BICENTENARIO DE SANTA MARIA DE EL MONTE,13602.0,5.77177033492823,82.74162679425838
COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,13126.0,6.008029197080292,77.64872262773723
COLEGIO BICENTENARIO MADRE ANA EUGENIA,13124.0,5.724908424908425,83.6117216117216
COLEGIO BICENTENARIO MATILDE HUICI NAVAS,13122.0,5.123101265822785,76.76582278481013
COLEGIO BICENTENARIO MODERNO PAINE,13404.0,5.546496106785317,67.43159065628475
COLEGIO BICENTENARIO SAN ALBERTO HURTADO DE PUDAHUEL,13124.0,5.70103734439834,70.10165975103735
COLEGIO BICENTENARIO SAN DAMIAN DE MOLOKAI,13103.0,5.803842159916926,77.25441329179647
COLEGIO BICENTENARIO SAN ESTEBAN MARTIR,13115.0,5.568037974683544,78.34915611814345
COLEGIO BICENTENARIO SANTA MARIA DE PAINE,13404.0,5.792666666666666,84.10266666666666
COLEGIO BICENTENARIO SANTO CURA DE ARS,13130.0,6.255949895615866,83.40292275574113
COLEGIO BICENTENARIO VICTORIA PRIETO,13101.0,6.109871244635193,83.72317596566523
COLEGIO BOSTON COLLEGE ALTO MACUL,13110.0,5.390424242424243,81.0569696969697
COLEGIO BOSTON COLLEGE LAGUNA DEL SOL,13604.0,6.595744680851064,99.0709219858156
COLEGIO BRADFORD SCHOOL,13132.0,6.348352713178294,96.20736434108527
COLEGIO BRITISH HIGH,13114.0,6.368852459016393,93.07540983606557
COLEGIO BRITISH ROYAL SCHOOL,13113.0,6.456993006993007,96.79545454545455
COLEGIO BUIN,13402.0,6.412698412698413,94.74920634920635
COLEGIO CALASANZ,13120.0,6.565204236006052,95.18910741301059
COLEGIO CAMBRIDGE COLLEGE,13123.0,6.278271604938271,93.38518518518518
COLEGIO CAMPANARIO,13402.0,6.450655021834061,92.68995633187772
COLEGIO CAMPVS COLLEGE,13123.0,6.438024691358025,95.28148148148148
